title,date,length
キミとボク、まわるセカイ。 Feat. 初音ミク,2013,3931008
シンタイソクテイ,2013,3788944
小さな自分と大きな世界,2011,4116835
"少年と魔法のロボット VOCALOID BEST, NEW RECORDINGS",2013,4199982
Our Little Miracles,2008,3249757
MIKUNOYOASOBI,2021,1712066
EXIT TUNES PRESENTS THE COMPLETE BEST OF azuma,2009,3761980
azurmalachite,0000,740510
No title+,2014,1846623
アイムマイン ft. VOCALOIDS,2024,0
とうほう☆みくれいむ,0000,1322705
初音ミクの消失,2010,3672973
Nyan Cat,2012,4551931
GHOST,2016,2954386
MANNEQUIN,2022,1884611
MANNEQUIN [Bonus Disc],2022,2102933
TRANSFORM,2024,1801690
TRANSFORM [Bonus Disc],2024,1714904
VOCALOID COLLECTION 2008～2012 [Disc 1],2013,3168490
あいたい星人,2024,184773
アンデッドアリス,2020,2436729
アンドロイドガール,2019,2240823
アンドロイドガール [Bonus Disc],2019,2334080
相愛性理論,2010,3966675
ハローセカイ,2025,163360
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,2011,4470768
Relations,2010,3951636
ロストテクノロジー,2022,2023997
doriko BEST 2008-2016 [Disc 1],2016,4338888
doriko BEST 2008-2016 [Disc 2],2016,4058447
unformed Feat. 初音ミク,2009,4093755
ロミオとシンデレラ,2010,3586862
HATSUNE MIKU ORCHESTRA,2009,3665821
増殖気味 X≒MULTIPLIES,2012,2513089
iceQuarium -Cotton Candy-,2024,2301106
PANDORA VOXX complete [Disc 1],2013,2416662
PANDORA VOXX complete [Disc 2],2013,2305196
"セツナコード Feat. GUMI, 初音ミク",2013,4830622
DECORATOR EP Feat. 初音ミク,2014,1881197
Re:Dial,2013,4553794
Re:MIKUS Feat. 初音ミク,2009,4845501
Re:package Feat. 初音ミク,2008,4771434
Tell Your World EP,2012,2332811
lol project 051:TRANSPIRE,2022,4541065
lol project 052:HISTORIA,2022,4347676
Miku Expo 10th Anniversary E.P.,2024,3318276
セカイカタログ,2013,4763861
magnet -favorites plus-,2010,3521195
Heartsnative,2009,2218545
悪ノ王国 ～Evils Kingdom～,2010,4647131
モノクロームプリズム,2025,2257583
Variscite,2023,3241610
from Neverland ～Best of Nem～,2012,4536646
NX STARS 02,0000,2164929
ガーデンツアー,2018,1405838
ナイトコンフェッション,2019,1358998
ファーストワルツ,2017,1636733
ヘヴンズアウト,2025,1426998
光が灯るまで,2023,3542786
Prhythmatic6,2022,2294731
Attractive Museum,2014,4642955
Cinnamon Philosophy,2010,4730900
OSTERさんのベスト,2012,4386860
みくのかんづめ,2008,3551155
EXIT TUNES PRESENTS THE BEST OF otetsu,2012,4356316
えくすてんど！,0000,2870706
はうす!,2021,1172477
光芒パラノイア,2021,2298824
ANNIVERSARY,2023,3624994
SPIDER LILY,2024,1259265
VOCALO EDM SESSIONS,2017,1729945
fioritura,2022,3355593
"15 years - Selected ""MIKU"" Works",2022,3637462
The Retrievers Feat. 初音ミク ～ジブリを歌う～,2017,1766343
積乱雲グラフィティ / Fallin' Fallin' Fallin',2011,1120012
